Date,Open,High,Low,Close,Volume
9/4/18,191.71,193.5,189.4,192.57,158473
9/5/18,188.88,190.2,180.01,184.39,365251
9/6/18,183.68,185.43,174.8,176.08,321631
9/7/18,173.85,185.8,172.1,185.35,270336
9/10/18,186.31,187.6,183.13,187.09,234808
9/11/18,186.05,194.26,184.9,193.5,202284
9/12/18,193.36,199.51,190.52,198.83,256921
9/13/18,200,206,200,202.22,207851
9/14/18,204,207,200.41,201.75,207114
9/17/18,205.03,207.34,200.01,200.19,173764
9/18/18,201.06,213,200.27,210.33,323742
9/19/18,211.6,215.47,209.5,213.33,289551
9/20/18,214.07,217.77,212.45,215.68,221188
9/21/18,215.63,217.09,207.53,208.84,266835
9/24/18,207.88,213.4,203.26,209.64,224168
9/25/18,210.38,213.56,205.95,208.45,323543
9/26/18,209.66,213.5,207.49,210.7,254510
9/27/18,211.69,214.7,211.69,214.06,157060
9/28/18,213.91,217.69,210.87,212.3,231695
10/1/18,213.97,213.97,208.22,209.04,172732
10/2/18,208.99,210.35,200,200.29,230130
10/3/18,201.99,208.05,201.98,205.98,199692
10/4/18,205.91,206.32,191.14,192.35,390809
10/5/18,192.38,195.64,182.73,189.04,472585
10/9/18,182.74,186.1,180.58,181.58,351913
10/10/18,181.15,181.7,166.63,169.99,662486
10/11/18,166.01,174.52,166,166.72,561258
10/12/18,174.9,178,169.94,176.2,363778
10/15/18,177.01,177.7,171.68,176.16,262380
10/16/18,179.29,189.01,179.29,188.91,403433
10/17/18,189.22,190,174.14,178.89,520423
10/18/18,178.97,182.59,174.8,176.07,375126
10/19/18,177.49,179.9,165.5,166.07,505210
10/22/18,169.76,177.5,165,176.12,386030
10/23/18,168.25,174.18,166.58,173.01,367075
10/24/18,173.91,176.31,159.25,159.47,387810
10/25/18,173.29,180.99,167,178.82,636226
10/26/18,170.5,180.99,168.91,174.5,514653
10/29/18,180.13,180.13,164.47,168.62,339907
10/30/18,165.41,173.61,161.45,169.63,311839
10/31/18,173.51,182.42,171.78,181.87,500393
11/1/18,181.78,190,177.58,189.01,401175
11/2/18,189.88,195,186.68,190.95,431957
11/5/18,188,189.1,183.12,185.01,321337
11/6/18,185.38,188.73,182.63,185.15,245612
11/7/18,188.38,195.91,186.63,193.87,459903
11/8/18,193.51,197.6,192.62,197.02,282627
11/9/18,194,194,183.19,186.23,350693
11/12/18,184.77,184.77,173.15,179.57,399942
11/13/18,181.2,185.57,177.7,183.93,394588
11/14/18,185.99,191.18,185,189,296728
11/15/18,188.16,199.05,187.85,197.87,440777
11/16/18,191.99,199,190.21,198.8,329782
11/19/18,198.45,199.25,176.02,176.33,514116
11/20/18,164.8,180.42,162,179.34,591654
11/21/18,185,185.99,175.34,175.69,433921
11/22/18,175.99,178.1,175.41,176.38,60647
11/23/18,174.5,180.11,172.17,178.25,143645
11/26/18,182.25,191.58,181.3,191.45,330223
11/27/18,188.88,194.72,187.61,192.03,282111
11/28/18,194.67,199.1,193.68,199,321398
11/29/18,198.7,201.06,194.3,197.86,291531
11/30/18,199.02,203.15,197.07,202.24,365850
12/3/18,207.49,209.6,203.36,207.35,388433
12/4/18,205.87,210.05,197.91,199.12,321887
12/5/18,200.99,203,196.5,199.7,94341
12/6/18,191.71,210,190.8,209.65,437888
12/7/18,208.7,212.25,193.18,195.13,425300
12/10/18,195.28,203.23,192.96,203.23,354638
12/11/18,207.34,212.76,205.21,207.3,364193
12/12/18,211.01,218.25,210.56,213.78,445825
12/13/18,215.94,219.3,213.16,215.12,322361
12/14/18,198.68,199.59,187.24,187.66,938899
12/17/18,187.24,187.24,172.52,173.8,643867
12/18/18,180,183.13,176.58,181.01,468950
12/19/18,182.02,188.8,177.86,179.44,451595
12/20/18,177,181.99,164.27,172.09,845565
12/21/18,173.22,173.96,165.59,166.39,588559
12/24/18,162.6,166.85,160.02,161.56,381252
12/27/18,171.03,180.5,171,180.26,440135
12/28/18,183.77,185.45,176.58,182.02,351144
12/31/18,185,191.65,184.1,188.79,301294
1/2/19,182.02,188.99,179.14,187.11,301619
1/3/19,184.84,184.84,174.59,174.91,315696
1/4/19,180,186.75,179.15,184.98,268375
1/7/19,186.86,193.9,185.2,191.91,280448
1/8/19,195,199.09,191.68,193.21,276355
1/9/19,194.65,198.67,191,196.36,259798
1/10/19,194.86,198.3,191.51,195.96,167895
1/11/19,194.81,199.11,194.62,198.13,153081
1/14/19,195.2,199,191.75,197.7,229633
