title,description,text,date,language
"Australia is investigating a digital currency, or e-dollar, but its benefits seem slight and the risks to privacy large","We are used to thinking of money as notes and coins, the kind most of us hold in our wallets. But most money—in Australia it's 96.3%—is digital, held by financial institutions and moved around via bank transfers, debit cards and credit cards.","We are used to thinking of money as notes and coins, the kind most of us hold in our wallets. But most moneyin Australia it's 96.3%is digital, held by financial institutions and moved around via bank… [+6015 chars]",2022-05-05,en
Fitness Metaverse: This Tech Company Trades Sweat For Crypto And NFTs,OliveX wants you to earn while you burn. The Hong Kong-based digital fitness company rewards players with crypto and NFTs as they flee marauding pirates and monsters across a dystopian wasteland.,"Working out can be good for your belt line and your bottom-line at the same time. Thats the proposition OliveX is offering to the players of its mobile blockchain games. 
Gamers can earn DOSE tokens… [+7218 chars]",2022-04-27,en
"Blockchain Technology Market: 19.00% Y-O-Y Growth Rate in 2021 | Market Size, Share & Trends Analysis Report by End-user, Geography, and Segment Forecasts, 2021 - 2025","The Blockchain Technology Market value is set to grow by USD 6.25 billion, progressing at a CAGR of 32.39% from 2020 to 2025, as per the latest report by...","NEW YORK, May 6, 2022 /PRNewswire/ -- The Blockchain Technology Market value is set to grow by USD 6.25 billion, progressing at a CAGR of 32.39% from 2020 to 2025, as per the latest report by Technav… [+15237 chars]",2022-05-06,en
Midpoint Announces Appointment of New CEO/CFO and Results of AGM,"LONDON, UK / ACCESSWIRE / April 12, 2022 / Midpoint Holdings Ltd. (TSXV:MPT) (Frankfurt: 8MH1) (""Midpoint"" or the ""Company"") is pleased to announce that all ...","LONDON, UK / ACCESSWIRE / April 12, 2022 / Midpoint Holdings Ltd. (TSXV:MPT) (Frankfurt: 8MH1) (""Midpoint"" or the ""Company"") is pleased to announce that all matters presented at its annual general an… [+6565 chars]",2022-04-12,en
"Blockchain AI Market Research Report by Technology, Component, Deployment Mode, Application, Vertical, Region - Global Forecast to 2027 - Cumulative Impact of COVID-19","Blockchain AI Market Research Report by Technology (Computer Vision, Context-Aware Computing, and Machine Learning), Component, Deployment Mode, Application,...","Blockchain AI Market Research Report by Technology (Computer Vision, Context-Aware Computing, and Machine Learning), Component, Deployment Mode, Application, Vertical, Region (Americas, Asia-Pacific,… [+9317 chars]",2022-05-04,en
"Blockchain-as-a-Service Market Research Report by Offering, Component, Organization Size, End User, Application, Verticals, Region - Global Forecast to 2027 - Cumulative Impact of COVID-19","Blockchain-as-a-Service Market Research Report by Offering (Services and Tools), Component, Organization Size, End User, Application, Verticals, Region...","Blockchain-as-a-Service Market Research Report by Offering (Services and Tools), Component, Organization Size, End User, Application, Verticals, Region (Americas, Asia-Pacific, and Europe, Middle Eas… [+9071 chars]",2022-05-04,en
Greening the Crypto Revolution,"The explosive growth of Bitcoin and other cryptocurrencies has opened up a new front in the broader climate crisis by threatening to offset the progress made in recent years toward decarbonization. For the technology to gain wider adoption over the long term,…",The explosive growth of Bitcoin and other cryptocurrencies has opened up a new front in the broader climate crisis by threatening to offset the progress made in recent years toward decarbonization. F… [+13628 chars],2022-05-06,en
Midpoint Announces Appointment of New CEO/CFO and Results of AGM,"LONDON, April 12, 2022 (GLOBE NEWSWIRE) -- Midpoint Holdings Ltd (TSXV: MPT) (Frankfurt: 8MH1) (“Midpoint” or the “Company”) is pleased to announce that all ...","LONDON, April 12, 2022 (GLOBE NEWSWIRE) -- Midpoint Holdings Ltd (TSXV: MPT) (Frankfurt: 8MH1) (Midpoint or the Company) is pleased to announce that all matters presented at its annual general and sp… [+6665 chars]",2022-04-12,en
Canada Asset Management Market (2022 - 2027): Growth Of Responsible Investment Funds - ResearchAndMarkets.com,"DUBLIN--(BUSINESS WIRE)--The ""Canada Asset Management Market - Growth, Trends, COVID-19 Impact and Forecasts (2022 - 2027)"" report has been added to ResearchAndMarkets.com's offering. Key Highlights Growth in Canada outpaced both the U.S. and the global indus…","DUBLIN--(BUSINESS WIRE)--The ""Canada Asset Management Market - Growth, Trends, COVID-19 Impact and Forecasts (2022 - 2027)"" report has been added to ResearchAndMarkets.com's offering.
Key Highlights… [+5222 chars]",2022-04-18,en
10 Bitcoin Mining Stocks to Buy Now,"In this article, we discuss 10 bitcoin mining stocks to buy now. If you want to read about some more stocks in this collection, go see 5 Bitcoin Mining...","In this article, we discuss 10 bitcoin mining stocks to buy now. If you want to read about some more stocks in this collection, go see 5 Bitcoin Mining Stocks to Buy Now.
Bitcoin mining refers to th… [+10436 chars]",2022-04-22,en
